"WVK_ID","WVK_BEGDAT","BEGAFSTAND","ENDAFSTAND","BEGKM","ENDKM"
66177054,20211001,0,673,167.639,166.963
66177058,20160801,0,24,30.045,30.066
66177059,20160801,0,35,30.027,30.045
66177060,20211101,0,2808,30.032,27.236
66177062,20211001,0,365,167.983,167.614
66177064,20180501,0,16,30.06,30.055
66177065,20180501,0,20,30.07,30.06
66178033,20180501,0,20,30.286,30.301
66178034,20220301,0,18,30.284,30.266
66178037,20180501,0,16,30.334,30.342
66178041,20180501,0,46,30.343,30.284
66178049,20211001,0,78,167.646,167.724
66178053,20211001,0,49,167.617,167.666
66178054,20211001,0,301,167.284,167.617
66178063,20211101,0,40,30.37,30.33
66178087,20211101,0,216,30.284,30.072
66178089,20180501,0,17,30.317,30.334
66178090,20181001,0,16,30.301,30.317
66178092,20211001,0,29,167.255,167.284
66184027,20211001,0,67,79.776,79.862
66184028,20211001,0,384,79.394,79.776
66184030,20211001,0,1814,79.862,81.676
66185019,20211101,0,518,1.197,1.719
66185030,20211001,0,500,79.513,79.995
66185031,20211001,0,33,79.48,79.513
66185033,20211001,0,375,79.48,79.862
66186003,20211101,0,458,1.719,2.184
66202005,20211001,0,212,69.79,69.586
66202006,20211001,0,267,69.586,69.319
67180023,20211001,0,82,82.243,82.323
67180024,20211001,0,227,82.017,82.243
67181025,20211001,0,651,81.676,82.323
67181027,20211001,0,68,81.676,81.743
67181029,20211001,0,238,81.743,81.983
67187002,20211101,0,316,2.184,2.499
67188001,20211101,0,254,2.499,2.748
67202003,20211001,0,2297,69.319,67.025
68178008,20211001,0,2304,166.496,164.204
68178009,20211001,0,464,166.963,166.496
68178011,20211001,0,117,166.65,166.764
68178012,20211001,0,629,166.875,166.243
68178013,20211001,0,88,166.963,166.875
68179041,20211001,0,341,166.312,166.65
68179042,20211001,0,39,166.273,166.312
68179043,20211001,0,850,82.85,83.67
68180009,20211001,0,533,82.323,82.85
68188001,20211101,0,543,2.748,3.299
68189001,20211101,0,381,3.299,3.696
68190001,20211101,0,686,3.799,4.476
