# STN;YYYYMMDD;RH
215;20210916;-1
215;20210917;0
215;20210918;0
215;20210919;0
215;20210920;0
215;20210921;0
215;20210922;0
215;20210923;-1
215;20210924;0
215;20210925;0
215;20210926;-1
215;20210927;52
215;20210928;0
215;20210929;60
215;20210930;-1
215;20211001;128
215;20211002;110
215;20211003;70
215;20211004;48
215;20211005;99
215;20211006;314
215;20211007;1
215;20211008;0
215;20211009;0
215;20211010;1
215;20211011;3
215;20211012;78
215;20211013;12
215;20211014;4
215;20211015;38
215;20211016;0
215;20211017;3
215;20211018;-1
215;20211019;17
215;20211020;145
215;20211021;99
215;20211022;15
215;20211023;0
215;20211024;0
215;20211025;29
215;20211026;4
215;20211027;0
215;20211028;0
215;20211029;3
215;20211030;78
215;20211031;145
215;20211101;1
215;20211102;24
215;20211103;15
215;20211104;137
215;20211105;1
215;20211106;4
215;20211107;11
215;20211108;-1
215;20211109;0
215;20211110;0
215;20211111;1
215;20211112;4
215;20211113;83
215;20211114;1
215;20211115;-1
215;20211116;-1
215;20211117;20
215;20211118;0
215;20211119;0
215;20211120;8
215;20211121;38
215;20211122;0
215;20211123;-1
215;20211124;0
215;20211125;36
215;20211126;128
215;20211127;44
215;20211128;75
215;20211129;70
215;20211130;63
215;20211201;29
215;20211202;19
215;20211203;2
215;20211204;53
215;20211205;57
215;20211206;50
215;20211207;44
215;20211208;3
215;20211209;23
215;20211210;19
215;20211211;10
215;20211212;35
215;20211213;-1
215;20211214;3
215;20211215;0
215;20211216;0
215;20211217;-1
215;20211218;0
215;20211219;3
215;20211220;-1
215;20211221;0
215;20211222;0
215;20211223;20
215;20211224;18
215;20211225;-1
215;20211226;1
215;20211227;14
215;20211228;59
215;20211229;32
215;20211230;0
215;20211231;-1
215;20220101;1
215;20220102;33
215;20220103;0
215;20220104;5
215;20220105;56
215;20220106;10
215;20220107;52
215;20220108;168
215;20220109;1
215;20220110;-1
215;20220111;3
215;20220112;1
215;20220113;0
215;20220114;0
215;20220115;0
215;20220116;1
215;20220117;0
215;20220118;0
215;20220119;12
215;20220120;8
215;20220121;3
215;20220122;0
215;20220123;0
215;20220124;0
215;20220125;0
215;20220126;0
215;20220127;19
215;20220128;-1
215;20220129;1
215;20220130;6
215;20220131;60
215;20220201;15
215;20220202;-1
215;20220203;16
215;20220204;79
215;20220205;44
215;20220206;81
215;20220207;-1
215;20220208;0
215;20220209;1
215;20220210;26
215;20220211;4
215;20220212;0
215;20220213;-1
215;20220214;17
215;20220215;98
215;20220216;51
215;20220217;2
215;20220218;16
215;20220219;95
215;20220220;169
215;20220221;12
215;20220222;16
215;20220223;0
215;20220224;49
215;20220225;1
215;20220226;0
215;20220227;0
215;20220228;0
215;20220301;12
215;20220302;0
215;20220303;0
215;20220304;0
215;20220305;0
215;20220306;0
215;20220307;0
215;20220308;0
215;20220309;0
215;20220310;0
215;20220311;0
215;20220312;1
215;20220313;1
215;20220314;-1
215;20220315;0
215;20220316;-1
215;20220317;13
215;20220318;0
215;20220319;0
215;20220320;8
215;20220321;0
215;20220322;0
215;20220323;0
215;20220324;0
215;20220325;0
215;20220326;0
215;20220327;0
215;20220328;0
215;20220329;0
215;20220330;26
215;20220331;88
215;20220401;48
215;20220402;-1
215;20220403;-1
215;20220404;70
215;20220405;7
215;20220406;5
215;20220407;151
215;20220408;10
215;20220409;41
215;20220410;0
215;20220411;0
215;20220412;0
215;20220413;0
215;20220414;0
215;20220415;0
215;20220416;0
215;20220417;0
215;20220418;0
215;20220419;0
215;20220420;0
215;20220421;0
215;20220422;0
215;20220423;0
215;20220424;0
215;20220425;32
215;20220426;8
215;20220427;0
215;20220428;0
215;20220429;0
215;20220430;5
215;20220501;0
215;20220502;0
215;20220503;0
215;20220504;0
215;20220505;0
215;20220506;0
215;20220507;-1
215;20220508;0
215;20220509;0
215;20220510;-1
215;20220511;70
215;20220512;0
215;20220513;0
215;20220514;0
215;20220515;0
215;20220516;17
215;20220517;4
215;20220518;0
215;20220519;28
215;20220520;125
215;20220521;0
215;20220522;0
215;20220523;132
215;20220524;17
215;20220525;-1
215;20220526;8
215;20220527;1
215;20220528;3
215;20220529;30
215;20220530;-1
215;20220531;30
215;20220601;46
215;20220602;0
215;20220603;0
215;20220604;-1
215;20220605;143
215;20220606;56
215;20220607;-1
215;20220608;78
215;20220609;3
215;20220610;2
215;20220611;0
215;20220612;0
215;20220613;0
215;20220614;0
215;20220615;0
215;20220616;0
215;20220617;-1
215;20220618;0
215;20220619;11
215;20220620;0
215;20220621;0
215;20220622;0
215;20220623;0
215;20220624;151
215;20220625;43
215;20220626;0
215;20220627;302
215;20220628;0
215;20220629;0
215;20220630;112
215;20220701;25
215;20220702;0
215;20220703;0
215;20220704;0
215;20220705;0
215;20220706;-1
215;20220707;6
215;20220708;0
215;20220709;0
215;20220710;0
215;20220711;0
215;20220712;5
215;20220713;0
215;20220714;0
215;20220715;0
215;20220716;-1
215;20220717;0
215;20220718;0
215;20220719;0
215;20220720;1
215;20220721;150
215;20220722;0
215;20220723;0
